Consider only the below columns and prepare a prediction model for predicting Price.

Corolla<-Corolla[c("Price","Age_08_04","KM","HP","cc","Doors","Gears","Quarterly_Tax","Weight")]

test_rmse
1183.3255007296425
train_rmse
1223.9115702176152

	0
399	9111.945280461656
478	10239.597798584455
1218	8995.842362382136
1365	8052.307490644231
445	10827.146493089658
1167	7200.075859881825
26	15945.636854085635
102	18072.995688475534
610	6565.988408446901
819	9767.250919482987
247	11984.32240909592
222	12450.287167134387
837	8502.658997632278
1066	7226.4489049973035
1041	10235.94261074131
880	9950.111122674425
1207	8074.12524631118
851	9599.01457645599
58	17758.641673675185
226	12577.871390523364
453	10530.44795692099
1077	6604.609098316292
528	10509.113318483483
657	8482.33168453392
1379	8486.239642452747
1168	7006.244856719559
628	8361.94773575765
931	9638.92269263697
385	9824.21197347961
682	9169.712301508589
1047	8211.893399927376
254	12289.117618250106
143	17858.57601629479
1337	8304.563009521295
483	10033.954975875018
1004	10479.472724999934
301	12198.608864104612
637	8496.52383683677
903	9230.031117948394
1302	8314.502093112373
16	19286.26642904436
390	9129.57953530231
940	9476.112131719014
466	10634.176702956414
969	9317.863271453074
156	18234.9662782293
731	9082.447084388892
65	14819.16331159496
252	12347.587239549037
1243	8682.754866596824
924	8992.077736848032
1375	7353.934440481191
442	10755.293308791845
488	10063.808950697916
910	9718.191780346362
830	9785.959757069346
1059	6295.014100801207
474	10758.316663637655
856	9538.190989179728
1268	7638.510322688788
59	15528.05707700845
1275	8130.509178712502
1013	8832.885013674255
285	13070.42930362228
619	7795.437351022572
234	12506.325761494489
751	10383.461937424285
1211	7076.301883316943
127	17071.949416482992
231	13089.119966674536
911	9960.680687787382
1371	8406.900580128346
1271	8627.061412201037
932	10741.965021089534
1082	7175.906041233176
1319	9364.47756191197
502	10282.006671916799
111	28600.71404931112
1317	7943.619341610418
1223	8639.414601605502
868	9372.542243888318
1015	11161.7909287558
1177	7366.168610141462
394	9858.596445915393
316	12572.081910876983
683	9951.275777527386
1112	8021.656637667202
1212	8901.252742558145
2	16716.57875435878
1359	9136.950602098586
757	9197.424316642524
434	10138.55105594049
732	8591.51315694253
651	8330.298519928661
618	9017.711690421831
675	8467.533570099678
116	22594.99316844277
53	19736.49965739942
1278	8592.863676727085
591	11254.389644038503
1049	5771.043595799914
1343	8633.254723230182
1035	10704.518907173524
7	16360.183508949593
645	8457.800208901177
105	17446.5085567649
1130	7907.426503637242
529	11162.910135697639
126	15905.819823924308
922	9473.867919702407
323	11758.852477134333
250	13837.815630438372
124	18056.207311898062
71	14142.87204475232
1057	5995.617018757521
266	12368.45768397244
1053	6350.906535961714
978	9502.963209835169
644	8853.661975820127
726	9476.069437478018
831	9046.791846307622
914	9913.501391966325
668	8060.480930507441
537	10799.320745424482
198	10540.926049897811
1136	6895.926267768142
575	11649.179825144834
38	14840.764612384168
719	8541.969144633485
262	11773.846103862303
180	19312.39996248355
1179	7848.828326243107
1023	9719.17009431784
1341	8917.241709353013
173	20091.529348999808
979	8670.077700376802
364	13599.57471287625
814	9501.916697177632
1203	8122.988301672984
1242	8544.605971385296
17	16473.80839475222
555	11365.973187751495
542	10438.209005116958
1360	8723.560179720862
217	11194.77020909735
426	10341.316006846544
139	17665.948067610872
279	12846.209436545572
614	9030.577475107963
1304	8486.040255570897
181	20487.906874375527
976	9334.631160772362
1273	7035.580966833157
968	9875.775713043053
287	12318.40001162681
1323	8844.576009355766
1111	8562.258830208719
855	8670.990243405553
271	13167.672434056365
701	8991.222216253434
977	9179.62412351386
106	17535.647304534257
131	17160.65885737593
1146	7941.933173121208
482	10913.695087161785
9	14604.748491609564
531	10184.204234079338
1182	8791.329012242752
46	17252.515433638957
205	10925.544669800427
958	8577.139940948127
985	10469.228446319286
1153	7915.118706561185
915	10778.377915724786
1272	9468.464229987185
1241	9045.934135817575
900	8436.241455547544
1024	11011.212153403108
107	17921.167103121235
690	7617.589642502078
1267	9044.32518785437
298	13757.588625517157
1187	8070.441214063521
584	10453.770287062238
85	16398.311836195004
578	10642.031611545368
392	10243.2166228346
1279	7526.547636785675
1294	8678.977661964444
257	11178.454351840875
766	9273.39841141154
96	17179.050359707915
558	12132.805445221604
22	15393.999270436245
